name,sex,yob,mob,dob
孙宗山,0,1975,6,1
庄子,1,1980,10,17
印何,1,1993,4,6
神农,1,1983,11,9
陈水扁,0,1977,9,6
拿破仑一世,1,1958,8,19
光绪帝,0,1970,9,2
刘a少奇,1,1994,5,12
荆轲,1,1971,1,16
墨子,0,1996,1,25
老子,0,1986,12,18
孔子,0,1980,10,25
舜,1,1980,7,25
耶稣,0,1975,11,1
晋w公,0,1971,5,6
禹,0,1972,6,19
康熙帝,1,1969,12,11
岳飞,0,1982,2,9
板垣征四郎,1,1963,2,18
吴廷琰,0,1992,11,19
圣雄甘地,1,1981,2,4
孟子,0,1965,6,9
卢武铉,1,1988,11,4
砵甸乍,1,1977,11,23
索额图,1,1985,1,9
扁鹊,0,1980,4,27
溥仪,0,1971,2,18
拿破仑1世,1,1973,7,26
丰臣秀吉,1,1976,6,20
丰臣秀吉,0,1991,3,26
鸟山明,0,1977,5,6
诸葛亮,1,1986,6,17
村上春树,1,1978,10,21
黄帝,1,1963,5,16
舜,0,1960,12,24
斯d林,0,1995,11,22
北7真,0,1992,2,5
太公望,1,1978,11,25
乾隆帝,1,1987,9,10
武则天,1,1995,6,24
平原君,0,1981,4,9
耶稣,1,1981,12,25
尧,1,1983,1,20
毛泽东,0,1970,7,20
马殷,0,1979,3,2
博古,0,1985,10,29
张作霖,1,1997,6,28
蒋经国,1,1972,11,16
王国维,1,1993,11,4
卢泰愚,1,1963,8,20
全斗焕,0,1994,6,24
马英九,0,1975,4,18
明世宗(朱厚熜),1,1973,10,19
甲骨4堂,1,2002,9,31
邓小平,0,1990,2,10
孙悟空,0,1996,9,21
燧人氏,1,1958,8,14
手冢治虫,0,1982,4,30
吕秀莲,1,1965,8,22
仓颉,1,1971,4,17
张学良,0,1979,5,7
昭和天皇,1,1985,1,7
耶稣,1,1971,2,17
刘邦,0,1976,3,2
完颜阿骨打,1,1985,8,31
五虎将,0,1974,4,15
耶稣,0,1974,8,13
温家宝,0,1995,2,23
周恩来,0,1980,1,20
秦2世,0,1981,2,20
刘邦,1,1993,11,29
成龙,0,1983,6,28
江泽民,0,1958,11,23
香港总督,0,1985,2,27
唐太宗,0,1989,3,11
宋庆龄,0,1986,4,15
华佗,1,1986,2,4
董赵洪娉,1,1978,12,26
拿破仑一世,1,1972,11,17
丘处机,1,1968,9,10
孙武,1,1985,10,31
苏格拉底,0,1978,5,23
耶稣,0,1976,5,9
伏羲,0,1983,2,10
女性,0,1979,2,16
郑成功,1,1978,4,14
尉迟恭,1,1992,2,17
川?芳子,0,1976,8,15
唐三藏,0,1983,11,9
李柱铭,1,1966,4,4
铃木善幸,1,1971,6,1
小泉纯一郎,1,1976,7,16
宋美龄,0,1990,12,19
胡锦涛,0,1999,1,13
尧,1,1979,2,27
介子推,0,1981,8,7
刘邦,0,1990,12,2
李hong章,1,1970,12,20
梁启超,1,1966,2,17
顺治帝,1,1968,7,4
